[[RANDOM]]
    n       Selection     Insertion     Merge         Heap          Quick         Counting
------------------------------------------------------------------------------------------
       0    0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      
    5000    0.011946      0.008200      0.001802      0.000706      0.000399      0.000000      
   10000    0.029501      0.025216      0.002205      0.001003      0.001098      0.000000      
   15000    0.064788      0.054973      0.003651      0.001055      0.001803      0.000100      
   20000    0.107895      0.093141      0.004157      0.001599      0.002200      0.000200      
   25000    0.167507      0.143065      0.005700      0.002000      0.002400      0.000200      
   30000    0.240662      0.205179      0.006606      0.002600      0.003052      0.000300      
   35000    0.329225      0.282391      0.007801      0.002751      0.003799      0.000500      
   40000    0.423486      0.370635      0.008812      0.003605      0.004355      0.000200      
   45000    0.536486      0.466845      0.010012      0.003601      0.004799      0.000700      
   50000    0.661343      0.572463      0.011147      0.004351      0.005450      0.000401      
   55000    0.799457      0.705350      0.012395      0.004708      0.006104      0.000400      
   60000    0.951024      0.825072      0.013724      0.005151      0.006710      0.000400      
   65000    1.121633      0.977487      0.014600      0.005900      0.007156      0.000500      
   70000    1.293289      1.138858      0.015998      0.006254      0.007901      0.000451      
   75000    1.488514      1.321708      0.017064      0.006798      0.008557      0.000601      
   80000    1.691229      1.494297      0.018315      0.007249      0.009406      0.000395      
   85000    1.911512      1.712451      0.019053      0.007855      0.009911      0.000500      
   90000    2.139797      1.925269      0.020355      0.008120      0.010567      0.000500      
   95000    2.395052      2.130551      0.021755      0.008802      0.011099      0.000501      
  100000    2.650704      2.346977      0.022673      0.009313      0.012156      0.000300      

[[REVERSE]]
    n       Selection     Insertion     Merge         Heap          Quick         Counting
------------------------------------------------------------------------------------------
       0    0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      
    5000    0.011999      0.013040      0.001010      0.000000      0.001052      0.000000      
   10000    0.038048      0.053604      0.002037      0.000000      0.000000      0.001483      
   15000    0.078602      0.114113      0.003963      0.001001      0.001036      0.001003      
   20000    0.131588      0.184321      0.003062      0.000999      0.001998      0.000000      
   25000    0.183254      0.294547      0.006030      0.001966      0.002000      0.001000      
   30000    0.289647      0.423083      0.004086      0.001001      0.002035      0.001004      
   35000    0.368189      0.543488      0.006001      0.002008      0.002000      0.001001      
   40000    0.463756      0.727974      0.006057      0.003001      0.003008      0.001001      
   45000    0.586217      0.915146      0.007046      0.002999      0.003002      0.001041      
   50000    0.714234      1.143439      0.007598      0.003003      0.003046      0.001002      
   55000    0.847340      1.365980      0.009038      0.003008      0.004047      0.000998      
   60000    1.016998      1.637042      0.010000      0.002999      0.005000      0.001007      
   65000    1.188588      1.923694      0.010059      0.003047      0.005000      0.001001      
   70000    1.381713      2.236357      0.011045      0.004541      0.006048      0.001008      
   75000    1.585425      2.579737      0.012087      0.004999      0.005007      0.001045      
   80000    1.857092      2.945239      0.012590      0.004997      0.006012      0.001048      
   85000    2.046602      3.345658      0.013999      0.004997      0.007000      0.002000      
   90000    2.275952      3.741123      0.015058      0.005055      0.007008      0.002001      
   95000    2.533527      4.122300      0.015999      0.005008      0.008056      0.002050      
  100000    2.792499      4.556720      0.016611      0.006058      0.007009      0.002000      

[[SORTED]]
    n       Selection     Insertion     Merge         Heap          Quick         Counting
------------------------------------------------------------------------------------------
       0    0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      
    5000    0.010015      0.000000      0.000996      0.000997      0.000000      0.001000      
   10000    0.034563      0.000000      0.002009      0.001043      0.000961      0.000000      
   15000    0.078536      0.000000      0.003049      0.001003      0.001038      0.000000      
   20000    0.124594      0.000000      0.003056      0.000954      0.000948      0.001039      
   25000    0.180961      0.000000      0.003960      0.002036      0.002000      0.000000      
   30000    0.252230      0.000000      0.004513      0.002000      0.002000      0.000000      
   35000    0.327860      0.000000      0.005996      0.002000      0.002007      0.000000      
   40000    0.477439      0.000000      0.007129      0.002000      0.003000      0.000000      
   45000    0.549174      0.000000      0.007630      0.002998      0.003000      0.001002      
   50000    0.684099      0.000000      0.008529      0.003044      0.003003      0.000000      
   55000    0.800497      0.000000      0.008512      0.002997      0.004000      0.000000      
   60000    0.956790      0.000000      0.010606      0.003008      0.004000      0.001061      
   65000    1.122043      0.000000      0.010007      0.004001      0.004999      0.001008      
   70000    1.315375      0.000000      0.011626      0.004013      0.004010      0.000558      
   75000    1.488248      0.000000      0.012171      0.004034      0.005001      0.001009      
