    n   |   vDP  |    tDP   | vGreedy |  tGreedy |   %
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     20 | 0.000000 |      20 | 0.000000 | 100.00
      5 |     14 | 0.000000 |      14 | 0.000000 | 100.00
      5 |     12 | 0.000000 |      12 | 0.000000 | 100.00
      5 |     45 | 0.000000 |      45 | 0.000000 | 100.00
      5 |     25 | 0.000000 |      25 | 0.000000 | 100.00
      5 |     15 | 0.000000 |      15 | 0.000000 | 100.00
      5 |     13 | 0.000000 |      13 | 0.000000 | 100.00
      5 |     20 | 0.000000 |      20 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     30 | 0.000000 |      30 | 0.000000 | 100.00
      5 |     45 | 0.000000 |      45 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     45 | 0.000000 |      45 | 0.000000 | 100.00
      5 |     25 | 0.000000 |      25 | 0.000000 | 100.00
      5 |     11 | 0.000000 |      11 | 0.000000 | 100.00
      5 |     20 | 0.000000 |      20 | 0.000000 | 100.00
      5 |     13 | 0.000000 |      13 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     20 | 0.000000 |      20 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     19 | 0.000000 |      19 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     25 | 0.000000 |      25 | 0.000000 | 100.00
      5 |     25 | 0.000000 |      25 | 0.000000 | 100.00
      5 |     20 | 0.000000 |      20 | 0.000000 | 100.00
      5 |     15 | 0.000000 |      15 | 0.000000 | 100.00
      5 |     13 | 0.000000 |      13 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     25 | 0.000000 |      25 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     25 | 0.000000 |      25 | 0.000000 | 100.00
      5 |     17 | 0.000000 |      16 | 0.000000 | 94.12
      5 |     30 | 0.000000 |      30 | 0.000000 | 100.00
      5 |     23 | 0.000000 |      23 | 0.000000 | 100.00
      5 |     25 | 0.000000 |      25 | 0.000000 | 100.00
      5 |     13 | 0.000000 |      13 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     20 | 0.000000 |      20 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     30 | 0.000000 |      30 | 0.000000 | 100.00
      5 |      8 | 0.000000 |       8 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     45 | 0.000000 |      45 | 0.000000 | 100.00
      5 |     20 | 0.000000 |      20 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     30 | 0.000000 |      30 | 0.000000 | 100.00
      5 |      9 | 0.000000 |       9 | 0.000000 | 100.00
      5 |     45 | 0.000000 |      45 | 0.000000 | 100.00
      5 |     11 | 0.000000 |      11 | 0.000000 | 100.00
      5 |     15 | 0.000000 |      15 | 0.000000 | 100.00
      5 |     15 | 0.000000 |      15 | 0.000000 | 100.00
      5 |     15 | 0.000000 |      15 | 0.000000 | 100.00
      5 |     24 | 0.000000 |      24 | 0.000000 | 100.00
      5 |     30 | 0.000000 |      30 | 0.000000 | 100.00
      5 |     30 | 0.000000 |      30 | 0.000000 | 100.00
      5 |     20 | 0.000000 |      20 | 0.000000 | 100.00
      5 |     12 | 0.000000 |      12 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     25 | 0.000000 |      25 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     15 | 0.000000 |      15 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     16 | 0.000000 |      16 | 0.000000 | 100.00
      5 |     10 | 0.000000 |      10 | 0.000000 | 100.00
      5 |     20 | 0.000000 |      20 | 0.000000 | 100.00
      5 |      9 | 0.000000 |       9 | 0.000000 | 100.00
      5 |     20 | 0.000000 |      20 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     30 | 0.000000 |      30 | 0.000000 | 100.00
      5 |     21 | 0.000000 |      21 | 0.000000 | 100.00
      5 |     25 | 0.000000 |      25 | 0.000000 | 100.00
      5 |     20 | 0.000000 |      20 | 0.000000 | 100.00
      5 |     45 | 0.000000 |      45 | 0.000000 | 100.00
      5 |     17 | 0.000000 |      17 | 0.000000 | 100.00
      5 |     25 | 0.000000 |      25 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     12 | 0.000000 |      12 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     45 | 0.000000 |      45 | 0.000000 | 100.00
      5 |     25 | 0.000000 |      25 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     17 | 0.000000 |      17 | 0.000000 | 100.00
      5 |     21 | 0.000000 |      21 | 0.000000 | 100.00
      5 |     20 | 0.000000 |      20 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     15 | 0.000000 |      15 | 0.000000 | 100.00
      5 |     15 | 0.000000 |      15 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     20 | 0.000000 |      20 | 0.000000 | 100.00
      5 |     45 | 0.000000 |      45 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     20 | 0.000000 |      20 | 0.000000 | 100.00
      5 |     30 | 0.000000 |      30 | 0.000000 | 100.00
      5 |     20 | 0.000000 |      20 | 0.000000 | 100.00
      5 |     30 | 0.000000 |      30 | 0.000000 | 100.00
      5 |     15 | 0.000000 |      15 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     14 | 0.000000 |      14 | 0.000000 | 100.00
      5 |     45 | 0.000000 |      45 | 0.000000 | 100.00
      5 |     25 | 0.000000 |      25 | 0.000000 | 100.00
      5 |     19 | 0.000000 |      19 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     30 | 0.000000 |      30 | 0.000000 | 100.00
      5 |     16 | 0.000000 |      16 | 0.000000 | 100.00
      5 |     12 | 0.000000 |      12 | 0.000000 | 100.00
      5 |     30 | 0.000000 |      30 | 0.000000 | 100.00
      5 |     18 | 0.000000 |      18 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     30 | 0.000000 |      30 | 0.000000 | 100.00
      5 |     25 | 0.000000 |      25 | 0.000000 | 100.00
      5 |     10 | 0.000000 |      10 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     18 | 0.000000 |      18 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     30 | 0.000000 |      30 | 0.000000 | 100.00
      5 |     12 | 0.000000 |      12 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |      9 | 0.000000 |       9 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     11 | 0.000000 |      11 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     30 | 0.000000 |      30 | 0.000000 | 100.00
      5 |     45 | 0.000000 |      45 | 0.000000 | 100.00
      5 |     24 | 0.000000 |      24 | 0.000000 | 100.00
      5 |     16 | 0.000000 |      16 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     12 | 0.000000 |      12 | 0.000000 | 100.00
      5 |     30 | 0.000000 |      30 | 0.000000 | 100.00
      5 |     20 | 0.000000 |      20 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     24 | 0.000000 |      24 | 0.000000 | 100.00
      5 |     11 | 0.000000 |      11 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     17 | 0.000000 |      17 | 0.000000 | 100.00
      5 |     12 | 0.000000 |      12 | 0.000000 | 100.00
      5 |     14 | 0.000000 |      14 | 0.000000 | 100.00
      5 |     45 | 0.000000 |      45 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     50 | 0.000000 |      50 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     30 | 0.000000 |      30 | 0.000000 | 100.00
      5 |     17 | 0.000000 |      17 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     22 | 0.000000 |      22 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     45 | 0.000000 |      45 | 0.000000 | 100.00
      5 |     40 | 0.000000 |      40 | 0.000000 | 100.00
      5 |     14 | 0.000000 |      14 | 0.000000 | 100.00
      5 |     45 | 0.000000 |      45 | 0.000000 | 100.00
      5 |     45 | 0.000000 |      45 | 0.000000 | 100.00
      5 |     45 | 0.000000 |      45 | 0.000000 | 100.00
      5 |     35 | 0.000000 |      35 | 0.000000 | 100.00
      5 |     25 | 0.000000 |      25 | 0.000000 | 100.00
      5 |     11 | 0.000000 |      11 | 0.000000 | 100.00
      5 |     24 | 0.000000 |      24 | 0.000000 | 100.00
      5 |     15 | 0.000000 |      15 | 0.000000 | 100.00
      5 |     17 | 0.000000 |      15 | 0.000000 | 88.24
