	V		E	gmin	gmax	gmed	diam
-----------------------------------------------
  10	   4	   0	   2	0.80	   4
  20	  22	   0	   4	2.20	   7
  30	  49	   0	   8	3.27	   6
  40	  84	   0	   8	4.20	   5
  50	 119	   1	   9	4.76	   6
  60	 198	   1	  12	6.60	   4
  70	 300	   3	  13	8.57	   4
  80	 372	   4	  16	9.30	   4
  90	 435	   3	  19	9.67	   4
 100	 518	   4	  18	10.36	   4
 110	 650	   6	  19	11.82	   3
 120	 758	   5	  22	12.63	   3
 130	 871	   6	  21	13.40	   3
 140	1078	   7	  26	15.40	   3
 150	1211	   7	  25	16.15	   3
 160	1422	   6	  27	17.77	   3
 170	1576	  10	  28	18.54	   3
 180	1664	   9	  32	18.49	   3
 190	1916	   7	  32	20.17	   3
 200	2153	  10	  36	21.53	   3
