[[RANDOM]]
    n       Selection     Insertion     Merge         Heap          Quick         Counting
       0    0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      
    5000    0.015030      0.010763      0.002496      0.000705      0.000900      0.000000      
   10000    0.030549      0.025019      0.002488      0.000905      0.001004      0.000100      
   15000    0.065483      0.054537      0.003703      0.001208      0.001500      0.000200      
   20000    0.108148      0.091431      0.004413      0.001600      0.002000      0.000100      
   25000    0.166821      0.144436      0.005501      0.002000      0.002500      0.000200      
   30000    0.240006      0.207568      0.006701      0.002361      0.003300      0.000300      
   35000    0.326676      0.283853      0.007802      0.002900      0.003750      0.000300      
   40000    0.425165      0.371006      0.008817      0.003300      0.004605      0.000100      
   45000    0.535891      0.466930      0.010151      0.003700      0.005050      0.000600      
   50000    0.664300      0.582735      0.010952      0.004355      0.005500      0.000400      
   55000    0.812724      0.708422      0.012363      0.004693      0.006258      0.000100      
   60000    0.955288      0.835293      0.013102      0.005201      0.006801      0.000901      
   65000    1.116654      0.989877      0.014814      0.005805      0.007258      0.000400      
   70000    1.305326      1.150472      0.015980      0.005998      0.008083      0.000600      
   75000    1.491990      1.329825      0.017066      0.006751      0.008660      0.000551      
   80000    1.699606      1.532980      0.018604      0.007303      0.009255      0.000504      
   85000    1.960995      1.704146      0.019227      0.007800      0.009851      0.000801      
   90000    2.148598      1.921360      0.020509      0.008010      0.010727      0.000301      
   95000    2.390242      2.119750      0.021551      0.008752      0.011203      0.000500      
  100000    2.646392      2.375215      0.022713      0.009095      0.012020      0.000601      

[[REVERSE]]
    n       Selection     Insertion     Merge         Heap          Quick         Counting
       0    0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      
    5000    0.011004      0.013007      0.001012      0.000000      0.000999      0.000000      
   10000    0.034595      0.051012      0.001048      0.000000      0.000969      0.000997      
   15000    0.079280      0.107784      0.002045      0.000544      0.001042      0.000999      
   20000    0.124610      0.183483      0.002998      0.002000      0.001503      0.001006      
   25000    0.189725      0.287636      0.005000      0.002011      0.002008      0.000997      
   30000    0.305725      0.467027      0.004008      0.001061      0.002027      0.000998      
   35000    0.356820      0.574534      0.005990      0.001511      0.003000      0.001003      
   40000    0.458850      0.741170      0.006056      0.003002      0.002999      0.001001      
   45000    0.580478      0.912957      0.007966      0.002202      0.002999      0.000000      
   50000    0.704866      1.128238      0.008085      0.003000      0.004004      0.000998      
   55000    0.851933      1.364799      0.009011      0.003035      0.005003      0.000997      
   60000    1.006745      1.639256      0.010002      0.003039      0.003510      0.001045      
   65000    1.201173      1.942481      0.010008      0.004039      0.005007      0.001002      
   70000    1.383480      2.228899      0.011973      0.004007      0.005507      0.002001      
   75000    1.577433      2.576669      0.012044      0.005003      0.005009      0.001008      
   80000    1.798193      2.975100      0.013044      0.005000      0.006010      0.001047      
